CommunityID,Model,Objective,ID,Bidoffer,Area,Plots,YoungFarmer,OldFarmer,Age,Male,Female,PriceHa,PricePlot,Averagesizeplot,SmallPlot,LargePlot,CWRhotspotgenus,Distancefromhotspot,Elevation,TransactionCost,Ecoregion1,Ecoregion2,Community,nonGMA,GMA,FarmSize,VignaUnguiculata,VignaJuncea,EleusineCoracana,PennisetumPurpureum,SorghumBicolar,SolanumIncanum,EleusineIndica,PennisetumPurpureum.1,EchinochloaColona,OryzaLongistaminata,Richness,DecisionCells
1,54,36,171,2311,15.3,30,5,13,736,10,8,3153.04,1572.67,7.37,18,0,36,1681.2,22266,577.9,18,0,18,18,0,98.53,0,17,17,0,0,0,0,0,0,0,34,18
2,51,34,459,311.1,8.5,34,2,15,771,14,3,623.56,155.89,4.25,17,0,34,1149.2,16898,78.2,17,0,34,17,0,44.5,0,0,0,0,0,0,0,0,0,0,0,17
3,9,6,126,229.4,1.1,3,0,3,146,3,0,641.9,229.25,1,3,0,6,176.7,2910,57.4,3,0,9,3,0,6.25,3,3,3,0,0,0,0,0,0,0,9,3
4,60,40,1210,2054.2,6.9,35,4,16,788,12,8,6687.99,1279.24,4.05,20,0,40,1180,19800,513.5,20,0,80,20,0,35.5,20,0,0,0,0,0,0,0,0,0,20,20
6,60,40,2010,1866.4,32.8,51,8,12,772,9,11,1897.48,922.38,14.35,14,6,20,890,16940,466.7,20,0,120,20,0,132.3,20,0,0,0,20,20,20,0,0,0,80,20
8,18,12,774,137.5,3.5,9,0,6,274,4,2,247.59,98.59,2.5,6,0,6,954,6492,34.4,6,0,48,0,6,13.5,0,0,0,0,0,0,0,0,0,0,0,6
9,90,60,4965,4754.9,15.5,0,14,16,1213,13,17,9329.08,0,0,0,0,60,2784,33120,1188.6,30,0,270,0,30,68.11,0,0,0,0,0,0,0,0,0,0,0,30
10,21,14,1295,2292.5,4.5,9,2,5,281,6,1,4223.81,2109.1,2.99,7,0,14,625.1,7714,573.1,7,0,70,0,7,51.88,0,0,0,0,0,0,0,0,0,0,0,7
12,6,4,425,275.1,1.5,3,2,0,54,2,0,467.86,229.25,0.98,2,0,2,211.2,1974,68.8,2,0,24,0,2,5.88,0,0,0,0,0,0,0,0,0,0,0,2
15,27,18,2566,793.4,10.3,16,4,5,370,8,1,787.1,406.55,4.5,5,3,9,1472.4,12438,198.4,0,9,135,0,9,11,0,0,0,0,0,0,0,0,0,0,0,9
17,27,18,2934,405.6,8.2,25,3,6,354,7,2,629.05,199.04,3.23,8,1,9,1867.5,11250,101.6,0,9,153,0,9,16.5,0,0,9,0,9,9,9,9,9,9,63,9
18,27,18,3134,243,17.4,19,2,7,431,8,1,126.11,121.53,8.7,1,8,9,1826.1,11025,60.9,0,9,162,0,9,33,0,0,9,0,0,0,0,0,0,0,9,9
19,45,30,5428,1536.1,10.5,36,5,10,686,10,5,4094.41,1309.02,5.1,12,3,15,1903.5,20715,383.9,0,15,285,15,0,500,0,0,0,0,0,0,15,15,0,0,30,15
21,24,16,3068,908.1,3.7,8,1,7,368,6,2,2164.12,907.83,2.25,8,0,8,816,11432,226.9,0,8,168,8,0,67,0,0,0,0,0,0,0,0,0,0,0,8
22,21,14,2767,357.8,2.3,8,1,6,294,4,3,1283.8,320.95,1.75,7,0,7,1369.2,9506,89.5,0,7,154,7,0,445,0,0,0,0,0,0,7,7,0,0,21,7
24,12,8,1660,238.5,1.6,9,1,3,176,2,2,678.58,106.99,0.68,4,0,0,526,5220,59.5,0,4,96,4,0,4.75,0,0,0,4,0,0,0,0,0,0,0,4
25,45,30,6405,1068.4,6.4,30,1,14,633,10,5,2980.25,564.75,3.07,15,0,15,2557.5,20250,266.8,0,15,375,15,0,84,0,0,0,0,0,0,0,0,0,0,0,15
